bigram,idx
final::shot,0
actual::film,1
till::end,2
get::made,3
keep::getting,4
else::say,5
mom::dad,6
three::men,7
time::people,8
buy::dvd,9
people::could,10
wonderful::acting,11
make::feel,12
almost::good,13
poorly::acted,14
disappointed::movie,15
time::come,16
never::forget,17
end::life,18
american::family,19
one::really,20
left::movie,21
im::concerned,22
quite::good,23
wasnt::enough,24
real::life,25
movie::better,26
tommy::lee,27
bollywood::movie,28
want::watch,29
never::see,30
novel::film,31
bit::like,32
make::scene,33
character::action,34
mickey::mouse,35
question::whether,36
something::dont,37
wonder::whether,38
doesnt::like,39
many::plot,40
played::role,41
chase::sequence,42
anyone::else,43
go::awry,44
alone::dark,45
id::watch,46
like::see,47
movie::low,48
soft::core,49
worth::price,50
blade::runner,51
youll::never,52
original::star,53
never::happen,54
horror::fan,55
tom::jerry,56
would::later,57
could::get,58
well::cant,59
18th::century,60
de::palmas,61
would::still,62
time::say,63
scene::show,64
movie::totally,65
sight::gag,66
jurassic::park,67
fit::perfectly,68
could::use,69
like::one,70
really::give,71
shes::going,72
look::exactly,73
said::done,74
seek::revenge,75
decade::ago,76
film::showing,77
one::point,78
film::budget,79
like::sort,80
give::2,81
always::one,82
basic::instinct,83
even::one,84
give::damn,85
im::really,86
comedy::drama,87
make::laugh,88
film::there,89
character::always,90
really::stand,91
ill::try,92
probably::one,93
half::movie,94
would::far,95
insult::intelligence,96
would::probably,97
made::two,98
score::film,99
feel::pain,100
machine::gun,101
angelina::jolie,102
performance::even,103
fair::amount,104
real::thing,105
dvd::movie,106
make::one,107
one::favourite,108
redeeming::factor,109
film::open,110
say::much,111
try::keep,112
film::anyway,113
like::fun,114
film::manages,115
thats::make,116
film::hard,117
younger::sister,118
get::know,119
doesnt::give,120
love::hate,121
however::movie,122
know::cant,123
child::actor,124
fallen::love,125
world::film,126
written::film,127
say::good,128
soviet::union,129
everything::look,130
one::one,131
film::last,132
good::luck,133
something::one,134
open::eye,135
hotel::room,136
teenage::daughter,137
im::always,138
thirty::year,139
major::flaw,140
soft::porn,141
couple::day,142
time::much,143
never::want,144
film::new,145
performance::come,146
story::little,147
much::fun,148
length::movie,149
good::stuff,150
christopher::lee,151
start::new,152
last::episode,153
one::person,154
long::shot,155
sesame::street,156
one::last,157
movie::tried,158
movie::acting,159
even::time,160
episode::series,161
known::actor,162
like::normal,163
there::nothing,164
suspension::disbelief,165
enough::film,166
like::many,167
really::want,168
started::watching,169
looking::movie,170
film::without,171
detective::story,172
know::else,173
first::time,174
something::wrong,175
best::action,176
one::single,177
style::film,178
film::role,179
one::thought,180
real::shame,181
space::station,182
real::star,183
see::theater,184
watched::first,185
whole::time,186
fact::whole,187
one::must,188
seven::year,189
fall::apart,190
recently::watched,191
either::one,192
movie::know,193
dark::humor,194
big::trail,195
running::around,196
acting::part,197
award::winner,198
walked::away,199
way::one,200
leading::man,201
read::line,202
pleasantly::surprised,203
younger::brother,204
movie::hilarious,205
part::first,206
character::name,207
time::slot,208
enough::get,209
television::series,210
muppet::movie,211
dirty::harry,212
movie::channel,213
love::horror,214
thing::cant,215
cheap::laugh,216
try::something,217
see::see,218
every::sense,219
movie::twice,220
make::interesting,221
father::son,222
best::one,223
kill::people,224
jack::palance,225
worst::horror,226
film::along,227
american::soldier,228
bad::time,229
one::seen,230
screen::presence,231
man::woman,232
wont::like,233
one::avoid,234
show::still,235
horrible::movie,236
time::take,237
outstanding::performance,238
element::movie,239
hour::movie,240
done::without,241
every::possible,242
leading::lady,243
french::cinema,244
say::great,245
terrific::performance,246
hold::well,247
tongue::cheek,248
best::documentary,249
type::movie,250
finest::performance,251
seen::quite,252
still::funny,253
story::told,254
blood::gut,255
see::good,256
sent::back,257
entire::time,258
time::probably,259
dont::recommend,260
middle::movie,261
film::trying,262
also::great,263
well::still,264
plot::dont,265
two::guy,266
read::many,267
thing::first,268
really::see,269
action::hero,270
get::stuck,271
thousand::dollar,272
would::seen,273
want::keep,274
four::year,275
way::way,276
film::take,277
idea::going,278
much::attention,279
hard::find,280
lot::better,281
feel::like,282
film::wasnt,283
john::ford,284
also::liked,285
never::happened,286
minute::movie,287
murder::mystery,288
watch::something,289
character::still,290
light::hearted,291
may::contain,292
well::scene,293
civil::war,294
indian::film,295
really::think,296
think::first,297
also::really,298
low::point,299
time::got,300
theatrical::trailer,301
anyway::film,302
turner::classic,303
steven::spielberg,304
torn::apart,305
whole::scene,306
film::overall,307
im::looking,308
werent::bad,309
scene::supposed,310
would::bad,311
scene::almost,312
life::watching,313
great::big,314
wandering::around,315
rock::hudson,316
point::really,317
season::1,318
one::might,319
movie::cast,320
even::care,321
shown::film,322
actor::film,323
thing::happening,324
like::think,325
cecil::b,326
part::series,327
would::feel,328
football::game,329
expectation::movie,330
film::sometimes,331
film::appeal,332
get::first,333
good::could,334
performance::career,335
thats::bad,336
closing::credit,337
hard::imagine,338
doubt::worst,339
stupid::movie,340
seen::much,341
film::series,342
show::get,343
really::enjoy,344
person::would,345
funniest::thing,346
try::take,347
need::good,348
scene::character,349
best::friend,350
seems::go,351
title::would,352
know::hell,353
beverly::hill,354
double::feature,355
almost::bad,356
first::aired,357
movie::would,358
keep::movie,359
4::time,360
middle::night,361
better::one,362
done::lot,363
absolutely::stunning,364
pretty::sure,365
concept::film,366
might::expect,367
end::first,368
see::two,369
police::officer,370
review::film,371
story::quite,372
new::way,373
bad::directing,374
take::lot,375
made::many,376
minor::role,377
contains::spoiler,378
didnt::pay,379
excellent::example,380
ability::make,381
much::easier,382
film::perhaps,383
really::look,384
would::first,385
woman::movie,386
old::story,387
see::everything,388
cant::figure,389
get::lot,390
time::day,391
character::supposed,392
never::heard,393
yes::movie,394
would::find,395
minute::get,396
heck::even,397
mother::son,398
never::met,399
movie::around,400
one::good,401
good::deal,402
film::moment,403
film::try,404
comedy::time,405
film::performance,406
long::time,407
even::know,408
come::expect,409
lack::talent,410
cant::get,411
life::film,412
film::director,413
much::later,414
much::better,415
day::later,416
game::show,417
nuclear::power,418
power::film,419
funny::see,420
get::killed,421
first::place,422
moment::one,423
police::department,424
theyre::going,425
different::way,426
believe::character,427
future::film,428
best::performance,429
kept::watching,430
pathetic::attempt,431
character::either,432
twenty::year,433
wrong::time,434
original::character,435
fun::see,436
four::star,437
scene::see,438
there::something,439
cast::movie,440
steal::every,441
bad::movie,442
private::ryan,443
actor::never,444
usual::suspect,445
romeo::juliet,446
young::one,447
donald::pleasance,448
get::see,449
see::love,450
turn::good,451
line::dont,452
john::carpenter,453
got::much,454
elm::street,455
overall::great,456
myrna::loy,457
make::perfect,458
let::say,459
jack::frost,460
must::admit,461
fantastic::film,462
im::one,463
basic::idea,464
midlife::crisis,465
majority::film,466
diane::lane,467
good::effect,468
film::noir,469
dennis::hopper,470
may::look,471
gene::kelly,472
cant::seem,473
basic::premise,474
good::line,475
get::wrong,476
subplot::involving,477
greatest::movie,478
ill::watch,479
right::mind,480
see::anyone,481
third::film,482
make::audience,483
golden::age,484
watching::one,485
film::none,486
club::scene,487
whats::going,488
also::happens,489
john::travolta,490
get::shot,491
quite::amusing,492
video::rental,493
keep::coming,494
go::wrong,495
got::better,496
reading::book,497
make::hard,498
make::wonder,499
glenn::close,500
beautiful::woman,501
need::get,502
play::well,503
would::always,504
camera::movement,505
run::across,506
much::acting,507
dont::recall,508
black::hole,509
bon::jovi,510
movie::matter,511
let::alone,512
michael::ironside,513
everyone::love,514
acting::one,515
story::go,516
acting::pretty,517
made::way,518
someone::would,519
even::kid,520
quite::entertaining,521
film::wouldnt,522
least::would,523
also::excellent,524
ever::since,525
marisa::tomei,526
10::rating,527
dont::come,528
thing::ever,529
time::course,530
like::three,531
lot::plot,532
best::actor,533
violence::film,534
movie::disappointing,535
show::every,536
car::chase,537
pretty::good,538
dont::rent,539
seen::film,540
attempt::make,541
never::better,542
ned::beatty,543
story::real,544
20th::century,545
know::bad,546
film::starring,547
actually::say,548
everything::make,549
leave::theater,550
best::work,551
bruce::campbell,552
available::dvd,553
